epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1859.35,1.66062,0.78266,0.87833,0.96,0.39534,0.67097,0.40842,1.51447,0.77507,0.87035,0.0017789,0.0017789,0.0017789
136,1870.77,1.66981,0.789,0.87515,0.95961,0.39532,0.67179,0.41277,1.50558,0.77538,0.87058,0.00177725,0.00177725,0.00177725
137,1882.31,1.67489,0.78165,0.87927,0.95917,0.39555,0.67179,0.41162,1.52725,0.76431,0.87224,0.0017756,0.0017756,0.0017756
138,1894.09,1.69797,0.78501,0.87607,0.95799,0.39494,0.67058,0.40936,1.50877,0.77895,0.86857,0.00177395,0.00177395,0.00177395
139,1905.89,1.71482,0.78553,0.87384,0.96128,0.39617,0.67311,0.41372,1.51349,0.76913,0.86999,0.0017723,0.0017723,0.0017723
140,1919.8,1.70238,0.79311,0.88335,0.9569,0.39454,0.66992,0.40895,1.51926,0.77887,0.87102,0.00177065,0.00177065,0.00177065
141,1935.41,1.7239,0.77019,0.8663,0.96152,0.39623,0.67299,0.41461,1.50716,0.76278,0.86984,0.001769,0.001769,0.001769
142,1947.33,1.66195,0.77897,0.87415,0.96203,0.39623,0.67313,0.41557,1.48458,0.76733,0.86651,0.00176735,0.00176735,0.00176735
143,1958.54,1.67785,0.77898,0.88004,0.95905,0.39473,0.67078,0.40155,1.57063,0.7794,0.87231,0.0017657,0.0017657,0.0017657
144,1971.85,1.6813,0.7832,0.87789,0.95968,0.39548,0.67108,0.40991,1.50921,0.77378,0.86956,0.00176405,0.00176405,0.00176405
145,1983.07,1.65648,0.7751,0.87463,0.95851,0.39512,0.67097,0.41395,1.48729,0.77137,0.86731,0.0017624,0.0017624,0.0017624
146,1994.37,1.67401,0.78714,0.8793,0.95937,0.3954,0.67132,0.41341,1.49517,0.77355,0.86879,0.00176075,0.00176075,0.00176075
147,2005.77,1.67791,0.78131,0.87304,0.96002,0.39546,0.6718,0.4062,1.53648,0.78425,0.87314,0.0017591,0.0017591,0.0017591
148,2017.08,1.67131,0.78073,0.87515,0.95864,0.39514,0.67084,0.40813,1.51087,0.77095,0.87022,0.00175745,0.00175745,0.00175745
149,2028.37,1.65136,0.77801,0.87097,0.95914,0.39535,0.67193,0.41158,1.499,0.7736,0.86783,0.0017558,0.0017558,0.0017558
150,2039.63,1.6595,0.77187,0.86404,0.95932,0.39549,0.67219,0.41561,1.50762,0.76593,0.86943,0.00175415,0.00175415,0.00175415
151,2052.01,1.68841,0.77629,0.86662,0.96158,0.39623,0.67277,0.41311,1.49433,0.77489,0.86771,0.0017525,0.0017525,0.0017525
152,2064.32,1.66125,0.77559,0.86865,0.95956,0.39518,0.67133,0.41177,1.52676,0.76912,0.87132,0.00175085,0.00175085,0.00175085
153,2076.62,1.71104,0.77992,0.87196,0.96047,0.39523,0.67079,0.41142,1.49786,0.76525,0.86934,0.0017492,0.0017492,0.0017492
154,2087.74,1.659,0.7769,0.8791,0.95964,0.39581,0.67244,0.41405,1.4973,0.76581,0.86951,0.00174755,0.00174755,0.00174755
155,2102.84,1.65619,0.77387,0.86765,0.95813,0.39504,0.67066,0.41131,1.5066,0.77486,0.87009,0.0017459,0.0017459,0.0017459
156,2114.39,1.65477,0.76865,0.86869,0.95995,0.39573,0.67211,0.41744,1.47195,0.76164,0.86542,0.00174425,0.00174425,0.00174425
157,2125.79,1.64232,0.77601,0.87145,0.96255,0.39604,0.67226,0.40847,1.5118,0.77358,0.86922,0.0017426,0.0017426,0.0017426
158,2137.49,1.6682,0.77574,0.87228,0.96116,0.39599,0.67253,0.41842,1.48001,0.76053,0.86624,0.00174095,0.00174095,0.00174095
159,2148.99,1.69103,0.77542,0.87276,0.95595,0.39382,0.66799,0.40107,1.53979,0.77729,0.87176,0.0017393,0.0017393,0.0017393
160,2163.59,1.65954,0.78194,0.87802,0.95968,0.39532,0.67163,0.41006,1.51397,0.77207,0.86957,0.00173765,0.00173765,0.00173765
161,2174.68,1.62905,0.77891,0.87308,0.96208,0.39677,0.67404,0.42089,1.47137,0.76438,0.86688,0.001736,0.001736,0.001736
162,2186.69,1.65244,0.77041,0.86746,0.96079,0.39595,0.6724,0.41629,1.48056,0.76401,0.86612,0.00173435,0.00173435,0.00173435
163,2199.31,1.67693,0.76823,0.86793,0.96129,0.3958,0.67259,0.4165,1.48609,0.76305,0.86634,0.0017327,0.0017327,0.0017327
164,2214.95,1.6651,0.77246,0.87012,0.962,0.39618,0.67298,0.41663,1.47908,0.76883,0.86542,0.00173105,0.00173105,0.00173105
165,2226.99,1.65889,0.77913,0.87551,0.95849,0.39494,0.67067,0.41347,1.49344,0.76517,0.86779,0.0017294,0.0017294,0.0017294
166,2239.26,1.65026,0.7712,0.87425,0.96229,0.39682,0.67407,0.41646,1.48954,0.76745,0.86662,0.00172775,0.00172775,0.00172775
167,2252.09,1.67129,0.82653,0.8899,0.96219,0.39643,0.67297,0.41521,1.48127,0.76774,0.86596,0.0017261,0.0017261,0.0017261
168,2262.93,1.64679,0.7791,0.87638,0.9598,0.39575,0.67228,0.41727,1.47847,0.76733,0.86613,0.00172445,0.00172445,0.00172445
169,2274.44,1.63795,0.77514,0.8697,0.96041,0.39554,0.67202,0.41304,1.49679,0.76898,0.86899,0.0017228,0.0017228,0.0017228
170,2289.57,1.64886,0.77021,0.87313,0.96096,0.39572,0.67179,0.41659,1.4844,0.75567,0.86712,0.00172115,0.00172115,0.00172115
171,2301.4,1.65188,0.77332,0.87319,0.96088,0.39595,0.6725,0.41684,1.48324,0.77095,0.86678,0.0017195,0.0017195,0.0017195
172,2312.35,1.66741,0.77908,0.87667,0.95764,0.39451,0.6699,0.40524,1.54113,0.76977,0.87195,0.00171785,0.00171785,0.00171785
173,2323.28,1.67532,0.77223,0.87601,0.96191,0.39668,0.67364,0.41584,1.4808,0.76509,0.86647,0.0017162,0.0017162,0.0017162
174,2339.24,1.68518,0.78389,0.87015,0.96103,0.39633,0.67307,0.41768,1.48088,0.76956,0.86622,0.00171455,0.00171455,0.00171455
175,2350.69,1.65979,0.7675,0.86557,0.95917,0.39558,0.67174,0.41044,1.52091,0.76573,0.87145,0.0017129,0.0017129,0.0017129
176,2362.12,1.64115,0.7727,0.87115,0.96009,0.39584,0.67183,0.41409,1.48264,0.76927,0.8661,0.00171125,0.00171125,0.00171125
