epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,1889.25,1.87578,0.88479,0.91204,0.94116,0.38908,0.65947,0.37408,1.6923,0.84921,0.89825,0.0012008,0.0012008,0.0012008
122,1905.25,1.877,0.88676,0.91046,0.9421,0.3892,0.65949,0.37634,1.67554,0.8493,0.89809,0.00119414,0.00119414,0.00119414
123,1920.97,1.92729,0.89518,0.90927,0.93913,0.38834,0.65826,0.37548,1.68628,0.86805,0.9026,0.00118748,0.00118748,0.00118748
124,1935.95,1.8986,0.89545,0.91305,0.94303,0.38953,0.6608,0.3786,1.67151,0.85068,0.90227,0.00118082,0.00118082,0.00118082
125,1951.73,1.91761,0.89974,0.90737,0.94171,0.38858,0.65826,0.37937,1.66663,0.85406,0.89644,0.00117416,0.00117416,0.00117416
126,1966.95,1.88486,0.89901,0.91216,0.94401,0.38977,0.66035,0.37939,1.6723,0.84348,0.89404,0.0011675,0.0011675,0.0011675
127,1982.73,1.92629,0.88799,0.90373,0.9397,0.38812,0.65735,0.37312,1.69875,0.8552,0.89831,0.00116084,0.00116084,0.00116084
128,1998.64,1.88836,0.87839,0.90126,0.94025,0.3874,0.65738,0.37181,1.67591,0.85336,0.89888,0.00115418,0.00115418,0.00115418
129,2013.98,1.89457,0.89034,0.91485,0.94013,0.38797,0.65655,0.37729,1.65558,0.84958,0.89698,0.00114752,0.00114752,0.00114752
130,2030.09,1.93145,0.89064,0.90287,0.94424,0.38968,0.66004,0.37615,1.66636,0.84576,0.89449,0.00114086,0.00114086,0.00114086
131,2045.9,1.90461,0.88276,0.90029,0.9382,0.38754,0.65601,0.37308,1.69573,0.8681,0.90315,0.0011342,0.0011342,0.0011342
132,2061.36,1.89966,0.89437,0.9123,0.94317,0.38873,0.65899,0.37667,1.66957,0.85684,0.89885,0.00112754,0.00112754,0.00112754
